#año,mes,dia,hora,min,seg,latitud,longitud,profundidad,rem,erh,erz,magnitud,dm,ada,no
1982,01,01,02,08,01.45,14.134166666666667,91.8685,48.6,0.22,5.0,10.2,3.5,82,342,12
1982,01,01,02,21,39.82,13.851,91.84383333333334,24.7,0.36,5.6,2.3,3.2,97,327,12
1982,01,01,06,52,32.44,13.0125,91.09016666666666,78.7,0.21,,,32,136,317,6
1982,01,01,11,13,52.24,13.549,90.25266666666667,59.6,0.18,2.6,6.3,300,87,279,13
1982,01,01,12,04,06.93,14.063833333333333,91.43583333333333,45.1,0.033,41,6.1,3.2,50,308,14
1982,01,01,14,24,39.85,15.245,89.41433333333333,14.9,0.61,8.2,551,3.6,86,303,12
1982,01,01,14,38,54.39,14.269,90.39516666666667,14.6,0.41,2.2,63,202,16,186,11
1982,01,01,16,31,57.03,15.739333333333333,91.7505,10.6,0.10,2.6,2.0,4.2,156,320,10
1982,01,01,16,46,49.62,14.399333333333333,90.39183333333334,10.4,0.50,21,202,240,14,149,10
1982,01,01,17,29,37.10,13.166666666666666,91.04333333333334,17.8,0.14,2.2,1.4,3.2,119,304,10
1982,01,01,17,50,02.80,14.554666666666666,90.995,1.5,0.22,0.5,5,2.2,15,194,6
1982,01,01,19453,13.13.,131578,95.50551918333333,,7,3.3,,,131,0.13,219,301
1982,01,01,20,38,58.86,13.593,90.93966666666667,32.0,0.28,7.7,12.3,0,95,283,12
1982,01,01,21,20,28.62,12.640666666666666,89.82783333333333,40.0,0.47,14.9,14.7,4.1,173,323,11
1982,01,02,00,06,24.79,13.570833333333333,90.56683333333334,32.4,0.36,6.2,9.6,29,8,276,12
1982,01,02,02,38,49.85,13.776833333333334,91.36816666666667,40.6,0.25,4.3,13.0,39.,64,301,11
1982,01,02,02,41,44.99,12.861333333333333,91.21366666666667,36.5,0..21,,1,325,154.,335,9
1982,01,02,04,29,12.86,15.652333333333333,91.721,2.2,00.21.,5.4,4.2,305,146,327,11
1982,01,02,05,04,54.36,13.0745,90.16666666666667,7.5,,42.,6.8,3.8,1311,306,10
1982,01,02,05,15,40.22,14.3745,90.40416666666667,6.7,0.41,2.9,3.0,3,15,151,12
1982,01,02,06,48,49.34,12.8,91.058,36.7,,,,3.6,159,314,8
1982,01,02,09,01,52.70,14.613,90.66483333333333,4.7,0.47,3.4,3.4,1.8,7,161,8
1982,01,02,09,27,39.01,14.649,90.66866666666667,12.4,8,,132,2.8,4,134,13
1982,01,02,09,28,31.23,14.640833333333333,90.66766666666666,9.0,0.29,1.6,3.6,205,4,167,
1982,01,02,09,31,14.69,14.6395,90.6675,5.8,0.33,1.0,0.8,2.6,4,131,16
1982,01,02,11,32,23.70,14.668333333333333,90.68833333333333,8.5,0.47,2.3,3.0,2.1,6,147,11
1982,01,02,12,15,10.68,14.246,90.57116666666667,8.1,02,17,2.0,2,14,176,12
