#año,mes,dia,hora,min,seg,latitud,longitud,profundidad,rem,erh,erz,magnitud,dm,ada,no,int
1982,01,03,16,42,25.00,,64.0,,,,,,,,,II
1982,01,03,21,56,07.88,14.385833333333334,90.38833333333334,09.1,0.30,,1.3,3.5,14,142,16,LT
1982,01,03,22,51,54.11.,14.358333333333333,90.3905,03.3,0.24,1.2,153,3.9,13,154,15,II
1982,01,04,00,31,06.19,14.413499999999999,90.37516666666667,04.4,0.19,,,3.0,14,124,13,Ir
1982,01.04,00,32,20.33,1424.71,90.36733333333333,10.133333333333333,3.4,138,1.9,,13,123,0.40,13,II
1982,01,04,19,54,06.59,14.896833333333333,90.891,10.5,0.32,23,2.8,3.6,34,1233,13,I
1982,01,07,07,38,20.81,13.830166666666667,90.74766666666666,87.4,10.21,27.,3.4,4.1,53,2372,15,11
1982,01,08,01,55,09.55.,12.793,88.76633333333334,36.0,0.19,7.8,,4.6,236,341,8,1
1982,01,11,05,48,16.81,12.666666666666666,87.66666666666667,15.0,1.18,,,6.2,337,347,8,T
1982,01,20,01,45,12.64,14.711166666666667,90.55633333333333,05.4,10527,154,1.5,3.0,.,12,10,11
1982,01,31,16,35,03.24,15.269833333333333,89.35983333333333,07.5,0.56,9.3,11.6,3.9,92,327,14,1
1982,01,31,16,36,51.14,15.191666666666666,89.51066666666667,04.4,0.50,,,4.0,74,322,11,I
1982,02,01.04,15,37.22,1505.96,89.67733333333334,3.1333333333333333,4.1,12.7,12.6,,14,314,0.49,54,E
1982,02,02,20,31,32.23,13.643833333333333,90.8085,18.1,0.38,3.2,3.6,3.6,69,298,15,1
1982,02,18,07,48,24.48,14.349833333333333,90.8315,07.7,013,0.8,1.4,3.4,,,431,I
1982,02,27,01,47,53.69,14.194666666666667,92.00516666666667,11.2,0.29,,,4.5,93,332,9,I
1982,03,04,11,41,01.98,13.085166666666666,89.58166666666666,00.9,0.18,6.6,31,4.9,126,322,10,11
1982,03,16,06,40,55.34,14.736333333333333,94.33966666666667,40.0,0.22,15.0,,5.6,342,349,9,11
1982,03,24,06,15,55.73,12.898833333333334,90.75,35.0,1.44,,,4.3,155,343,8,I
1982,04,01,06,53,09.67,13.789833333333334,90.75616666666667,30.2,0.16,27,1.5,3.6,57,302,9,I
1982,04,06,15,49,46.97,14.028833333333333,92.3325,96.4,0.21,15.0,,4.9,167,336,7,II
1982,04,06,19,56,49.83,13.971833333333333,92.43633333333334,40.0,0.33,,,5.3,209,348,6,IV
1982,04,18,10,42,08.14,13.967166666666667,91.80066666666667,11.5,0.13,,3.8,4.6,116,332,10,Iv
1982,04,27,00,14,50.00,,32.083333333333336,,,,,,,,,11
1982,04,27,00,54,09.00,,32.083333333333336,,,,,,,,,1
